Size: 1024	AvgTime: 2752.87
Size: 2048	AvgTime: 426.98
Size: 4096	AvgTime: 509.58
Size: 8192	AvgTime: 409.55
Size: 16384	AvgTime: 74.63
Size: 32768	AvgTime: 81.21
Size: 65536	AvgTime: 94.64
Size: 131072	AvgTime: 204.52
Size: 262144	AvgTime: 342.85
Size: 524288	AvgTime: 437.47
Size: 1048576	AvgTime: 773.34
