256,171,212,92
512,379,425,199
1024,847,837,355
2048,1801,1653,727
4096,3656,3237,1410
8192,7345,6401,2695
16384,14514,12641,5320
32768,28537,24747,10200
65536,56319,48367,19843
131072,110791,93844,38301
262144,216649,182751,74697
